protocol,src_port,dst_port,packet_length,ttl,timestamp,src_ip,dst_ip,tcp_flags,window_size,flow_duration,flow_bytes_per_sec,flow_packets_per_sec,hour,minute,second,day_of_week,binary_prediction,multiclass_label
6,443,57503,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,133,0,1,56,36,6,False,Benign
6,443,57503,1,0,637,0,637,637,637,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,637,133,0,1,56,36,6,False,Benign
6,57503,443,1,0,105,0,105,105,105,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,105,255,0,1,56,36,6,False,Benign
6,443,57503,1,0,85,0,85,85,85,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,85,133,0,1,56,36,6,False,Benign
6,443,57503,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,133,0,1,56,36,6,False,Benign
6,57503,443,1,0,105,0,105,105,105,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,105,255,0,1,56,36,6,False,Benign
6,443,57503,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,133,0,1,56,36,6,False,Benign
6,443,57513,1,0,139,0,139,139,139,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,139,986,0,1,56,36,6,False,Benign
6,443,57513,1,0,85,0,85,85,85,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,85,986,0,1,56,36,6,False,Benign
6,57513,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,252,0,1,56,36,6,False,Benign
6,443,57513,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,986,0,1,56,36,6,False,Benign
6,57513,443,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,251,0,1,56,36,6,False,Benign
6,57515,443,1,0,291,0,291,291,291,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,291,255,0,1,56,36,6,False,Benign
6,443,57513,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,986,0,1,56,36,6,False,Benign
6,443,57515,1,0,60,0,60,60,60,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,60,1045,0,1,56,36,6,False,Benign
6,443,57515,1,0,124,0,124,124,124,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,124,1045,0,1,56,36,6,False,Benign
6,443,57515,1,0,85,0,85,85,85,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,85,1045,0,1,56,36,6,False,Benign
6,443,57515,1,0,93,0,93,93,93,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,0,0,93,1045,0,1,56,36,6,False,Benign
6,57515,443,1,0,54,0,54,54,54,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,54,255,0,1,56,36,6,False,Benign
